,date,so2,nox,rspm,spm,co2,aqi,location
0,2006-01-07,25,44,134,0,157,123,Bhosari
1,2006-01-14,25,44,138,0,169,125,Bhosari
2,2006-01-21,33,52,159,0,162,139,Bhosari
3,2006-01-28,33,52,174,0,152,149,Bhosari
4,2006-02-04,21,33,127,0,147,118,Bhosari
5,2006-02-11,26,50,183,0,152,155,Bhosari
6,2006-02-18,25,39,147,0,150,131,Bhosari
7,2006-02-25,31,50,156,0,143,137,Bhosari
8,2006-03-04,22,46,159,0,136,139,Bhosari
9,2006-03-11,22,38,139,0,134,126,Bhosari
10,2006-03-18,30,41,135,0,141,123,Bhosari
11,2006-03-25,37,44,121,0,145,114,Bhosari
12,2006-04-02,30,39,150,0,150,133,Bhosari
13,2006-04-08,33,39,127,0,129,118,Bhosari
14,2006-04-15,33,42,162,0,156,141,Bhosari
15,2006-04-22,32,41,145,0,178,130,Bhosari
16,2006-04-29,30,42,150,0,122,133,Bhosari
17,2006-05-06,32,45,119,0,134,113,Bhosari
18,2006-05-13,30,45,135,0,145,123,Bhosari
19,2006-05-20,33,41,163,0,152,142,Bhosari
20,2006-05-27,32,42,131,0,116,121,Bhosari
21,2006-06-07,25,42,127,0,134,118,Bhosari
22,2006-06-17,28,39,133,0,130,122,Bhosari
23,2006-07-05,17,38,127,0,117,118,Bhosari
24,2006-07-12,24,42,134,0,132,123,Bhosari
25,2006-07-22,16,36,124,0,109,116,Bhosari
26,2006-07-29,14,34,107,0,98,105,Bhosari
27,2006-08-05,28,39,103,0,39,102,Bhosari
28,2006-08-12,25,42,98,0,112,98,Bhosari
29,2006-08-19,27,35,105,0,81,103,Bhosari
30,2006-08-26,26,33,106,0,119,104,Bhosari
31,2006-09-02,33,38,129,0,136,119,Bhosari
32,2006-09-09,28,42,123,0,131,115,Bhosari
33,2006-09-16,26,44,80,0,109,80,Bhosari
34,2006-09-23,36,48,113,0,122,109,Bhosari
35,2006-09-30,24,45,128,0,120,119,Bhosari
36,2006-10-07,18,35,126,0,144,117,Bhosari
37,2006-10-14,24,43,106,0,117,104,Bhosari
38,2006-10-21,23,42,119,0,113,113,Bhosari
39,2006-10-28,30,39,99,0,54,99,Bhosari
40,2006-11-04,21,39,76,0,100,76,Bhosari
41,2006-11-11,14,29,117,0,121,111,Bhosari
42,2006-11-18,12,50,162,0,93,141,Bhosari
43,2006-11-25,17,45,90,0,114,90,Bhosari
44,2006-12-02,24,42,101,0,116,101,Bhosari
45,2006-12-09,23,56,134,0,118,123,Bhosari
46,2006-12-16,25,44,147,0,154,131,Bhosari
47,2006-12-23,21,45,115,0,112,110,Bhosari
48,2006-12-30,20,39,115,0,139,110,Bhosari
49,2007-01-06,24,45,102,0,110,101,Bhosari
50,2007-01-13,24,51,111,0,218,107,Bhosari
51,2007-01-20,25,51,138,0,25,125,Bhosari
52,2007-01-27,17,37,132,0,118,121,Bhosari
53,2007-02-03,26,51,91,0,116,91,Bhosari
54,2007-02-10,23,51,139,0,120,126,Bhosari
55,2007-02-17,24,46,133,0,121,122,Bhosari
56,2007-02-24,25,49,237,0,150,191,Bhosari
57,2007-03-03,25,46,156,0,154,137,Bhosari
58,2007-03-10,20,38,233,0,234,189,Bhosari
59,2007-03-17,23,46,125,0,170,117,Bhosari
60,2007-03-24,28,36,129,0,145,119,Bhosari
61,2007-03-31,23,44,123,0,143,115,Bhosari
62,2007-04-07,19,40,163,0,182,142,Bhosari
63,2007-04-14,21,48,141,0,163,127,Bhosari
64,2007-04-21,28,44,151,0,89,134,Bhosari
65,2007-04-28,21,49,121,0,84,114,Bhosari
66,2007-05-05,19,39,111,0,103,107,Bhosari
67,2007-05-12,22,44,125,0,121,117,Bhosari
68,2007-05-19,22,45,126,0,121,117,Bhosari
69,2007-05-26,19,41,126,0,97,117,Bhosari
70,2007-06-02,28,43,106,0,76,104,Bhosari
71,2007-06-09,17,33,76,0,46,76,Bhosari
72,2007-06-16,23,48,48,0,37,60,Bhosari
73,2007-06-23,12,27,55,0,65,55,Bhosari
74,2007-06-30,14,35,51,0,43,51,Bhosari
75,2007-07-07,18,25,55,0,103,55,Bhosari
76,2007-07-14,13,35,61,0,44,61,Bhosari
77,2007-07-21,20,38,78,0,69,78,Bhosari
78,2007-07-28,19,43,88,0,138,88,Bhosari
79,2007-08-04,14,36,107,0,66,105,Bhosari
80,2007-08-11,14,41,51,0,48,51,Bhosari
81,2007-08-19,19,53,81,0,95,81,Bhosari
82,2007-08-25,14,47,77,0,82,77,Bhosari
83,2007-09-01,19,44,60,0,37,60,Bhosari
84,2007-09-08,20,21,35,0,79,35,Bhosari
85,2007-09-15,21,54,42,0,103,68,Bhosari
86,2007-09-26,19,58,48,0,63,73,Bhosari
87,2007-10-03,23,47,45,0,166,59,Bhosari
88,2007-10-10,20,47,85,0,65,85,Bhosari
89,2007-10-17,21,53,110,0,124,107,Bhosari
90,2007-10-24,26,44,58,0,72,58,Bhosari
91,2007-10-31,21,57,85,0,137,85,Bhosari
92,2007-11-07,20,51,129,0,83,119,Bhosari
93,2007-11-14,23,47,139,0,141,126,Bhosari
94,2007-11-21,18,48,118,0,119,112,Bhosari
95,2007-11-28,21,53,154,0,84,136,Bhosari
96,2007-12-01,0,46,124,183,0,116,Bhosari
97,2007-12-08,21,49,157,248,0,138,Bhosari
98,2007-12-12,15,42,100,152,0,100,Bhosari
99,2007-12-15,17,44,120,186,0,113,Bhosari
100,2007-12-19,21,50,111,189,0,107,Bhosari
101,2007-12-22,29,47,116,201,0,111,Bhosari
102,2007-12-26,21,55,121,182,0,114,Bhosari
103,2007-12-29,21,47,122,193,0,115,Bhosari
104,2008-01-02,18,50,131,218,0,121,Bhosari
105,2008-01-05,20,48,155,236,0,137,Bhosari
106,2008-01-09,22,51,129,209,0,119,Bhosari
107,2008-01-12,18,42,176,271,0,151,Bhosari
108,2008-01-16,16,42,159,262,0,139,Bhosari
109,2008-01-19,21,48,145,240,0,130,Bhosari
110,2008-01-23,22,48,141,203,0,127,Bhosari
111,2008-01-30,18,38,136,208,0,124,Bhosari
112,2008-02-09,17,23,229,619,0,186,Bhosari
113,2008-02-13,27,30,158,405,0,139,Bhosari
114,2008-02-16,22,25,187,478,0,158,Bhosari
115,2008-02-19,23,33,136,297,0,124,Bhosari
116,2008-02-20,24,41,131,305,0,121,Bhosari
117,2008-02-27,22,29,214,500,0,176,Bhosari
118,2008-03-01,24,34,199,499,0,166,Bhosari
119,2008-03-05,25,27,256,472,0,206,Bhosari
120,2008-03-08,25,29,181,456,0,154,Bhosari
121,2008-03-12,22,27,217,402,0,178,Bhosari
122,2008-03-15,18,24,122,276,0,115,Bhosari
123,2008-03-19,19,26,152,465,0,135,Bhosari
124,2008-03-22,19,19,186,228,0,157,Bhosari
125,2008-03-26,19,26,95,216,0,95,Bhosari
126,2008-03-29,13,21,112,311,0,108,Bhosari
127,2008-04-02,16,24,48,238,0,48,Bhosari
128,2008-04-05,17,25,88,301,0,88,Bhosari
129,2008-04-09,27,34,156,348,0,137,Bhosari
130,2008-04-14,39,31,164,304,0,143,Bhosari
131,2008-04-16,41,30,98,308,0,98,Bhosari
132,2008-04-19,38,15,101,373,0,101,Bhosari
133,2008-04-23,35,21,116,426,0,111,Bhosari
134,2008-04-26,24,29,92,247,0,92,Bhosari
135,2008-04-30,18,18,101,315,0,101,Bhosari
136,2008-05-03,26,34,86,337,0,86,Bhosari
137,2008-05-07,23,40,125,315,0,117,Bhosari
138,2008-05-10,19,23,67,279,0,67,Bhosari
139,2008-05-14,18,20,64,317,0,64,Bhosari
140,2008-05-17,27,25,72,405,0,72,Bhosari
141,2008-05-21,19,24,59,343,0,59,Bhosari
142,2008-05-24,20,25,46,172,0,46,Bhosari
143,2008-05-28,24,28,56,186,0,56,Bhosari
144,2008-05-31,19,32,50,218,0,50,Bhosari
145,2008-06-04,18,32,120,486,0,113,Bhosari
146,2008-06-07,18,30,39,124,0,39,Bhosari
147,2008-06-11,21,37,40,96,0,46,Bhosari
148,2008-06-14,21,28,40,147,0,40,Bhosari
149,2008-06-18,21,30,65,193,0,65,Bhosari
150,2008-06-21,20,31,89,328,0,89,Bhosari
151,2008-06-25,23,40,54,112,0,54,Bhosari
152,2008-06-28,19,38,74,267,0,74,Bhosari
153,2008-07-02,16,42,59,132,0,59,Bhosari
154,2008-07-05,19,29,35,165,0,36,Bhosari
155,2008-07-09,20,31,168,310,0,145,Bhosari
156,2008-07-12,18,29,41,165,0,41,Bhosari
157,2008-07-16,18,34,46,246,0,46,Bhosari
158,2008-07-19,18,32,36,256,0,40,Bhosari
159,2008-07-23,17,32,47,242,0,47,Bhosari
160,2008-07-26,16,31,115,134,0,110,Bhosari
161,2008-07-30,23,34,48,190,0,48,Bhosari
162,2008-08-03,22,31,49,170,0,49,Bhosari
163,2008-08-06,23,44,34,241,0,55,Bhosari
164,2008-08-13,14,29,41,78,0,41,Bhosari
165,2008-08-16,23,38,42,167,0,48,Bhosari
166,2008-08-20,22,37,48,360,0,48,Bhosari
167,2008-08-23,26,45,39,286,0,56,Bhosari
168,2008-08-27,24,53,30,192,0,66,Bhosari
169,2008-08-30,21,31,71,244,0,71,Bhosari
170,2008-09-03,27,37,63,124,0,63,Bhosari
171,2008-09-06,22,39,35,137,0,49,Bhosari
172,2008-09-10,24,37,55,118,0,55,Bhosari
173,2008-09-13,23,34,29,84,0,43,Bhosari
174,2008-09-17,23,36,22,38,0,45,Bhosari
175,2008-09-27,25,36,67,152,0,67,Bhosari
176,2008-10-01,21,37,64,239,0,64,Bhosari
177,2008-10-04,22,33,167,624,0,145,Bhosari
178,2008-10-08,16,34,73,225,0,73,Bhosari
179,2008-10-11,23,33,116,213,0,111,Bhosari
180,2008-10-15,21,35,145,376,0,130,Bhosari
181,2008-10-18,25,34,94,259,0,94,Bhosari
182,2008-10-22,24,40,144,384,0,129,Bhosari
183,2008-10-25,24,35,174,445,0,149,Bhosari
184,2008-10-28,26,41,245,406,0,197,Bhosari
185,2008-11-01,23,35,118,307,0,112,Bhosari
186,2008-11-05,23,36,141,388,0,127,Bhosari
187,2008-11-12,25,43,153,330,0,135,Bhosari
188,2008-11-15,23,42,175,350,0,150,Bhosari
189,2008-11-19,33,53,98,225,0,98,Bhosari
190,2008-11-22,32,45,112,233,0,108,Bhosari
191,2008-11-26,29,34,137,335,0,125,Bhosari
192,2008-11-29,30,43,81,174,0,81,Bhosari
193,2008-12-03,30,44,83,229,0,83,Bhosari
194,2008-12-06,24,41,92,221,0,92,Bhosari
195,2008-12-10,22,45,178,297,0,152,Bhosari
196,2008-12-13,23,43,162,283,0,141,Bhosari
197,2008-12-17,25,41,137,259,0,125,Bhosari
198,2008-12-20,35,50,144,310,0,129,Bhosari
199,2008-12-24,29,54,195,402,0,163,Bhosari
200,2008-12-25,21,48,164,378,0,143,Bhosari
201,2008-12-27,24,46,184,454,0,156,Bhosari
202,2008-12-28,22,44,176,383,0,151,Bhosari
